LABEL,TIME,FRAME
1+0/1,0.017415,768
1+1/2,0.191565,8448
2+0/1,0.365714,16128
2+1/2,0.539864,23808
3+0/1,0.714014,31488
3+1/2,0.888163,39168
3+11/16,1.06231,46848
3+3/4,1.23646,54528
3+7/8,1.41061,62208
4+0/1,1.58476,69888
4+1/8,1.75891,77568
4+3/16,1.93306,85248
4+1/4,2.10721,92928
4+3/8,2.28136,100608
4+1/2,2.45551,108288
4+5/8,2.62966,115968
4+11/16,2.80381,123648
4+3/4,2.97796,131328
4+7/8,3.15211,139008
5+0/1,3.32626,146688
5+1/8,3.50041,154368
5+3/16,3.67456,162048
5+1/4,3.84871,169728
5+3/8,4.02286,177408
5+1/2,4.19701,185088
5+5/8,4.37116,192768
5+11/16,4.54531,200448
5+3/4,4.71946,208128
5+7/8,4.89361,215808
6+0/1,5.06776,223488
6+3/16,5.2419,231168
6+1/4,5.41605,238848
6+3/8,5.5902,246528
6+1/2,5.76435,254208
6+5/8,5.9385,261888
6+11/16,6.11265,269568
6+3/4,6.2868,277248
6+7/8,6.46095,284928
7+0/1,6.6351,292608
7+1/8,6.80925,300288
7+3/16,6.9834,307968
7+1/4,7.15755,315648
7+3/8,7.3317,323328
7+1/2,7.50585,331008
7+3/4,7.68,338688
7+7/8,7.85415,346368
8+0/1,8.0283,354048
8+1/8,8.20245,361728
8+3/16,8.3766,369408
8+1/4,8.55075,377088
8+5/16,8.7249,384768
8+3/8,8.89905,392448
8+7/16,9.0732,400128
8+1/2,9.24735,407808
8+5/8,9.4215,415488
8+11/16,9.59565,423168
8+3/4,9.7698,430848
8+7/8,9.94395,438528
9+0/1,10.1181,446208
9+1/8,10.2922,453888
9+3/16,10.4664,461568
9+1/4,10.6405,469248
9+3/8,10.8147,476928
9+1/2,10.9888,484608
9+5/8,11.163,492288
9+11/16,11.3371,499968
9+3/4,11.5113,507648
9+7/8,11.6854,515328
10+0/1,11.8596,523008
10+1/8,12.0337,530688
10+3/16,12.2079,538368
10+1/4,12.382,546048
10+3/8,12.5562,553728
10+1/2,12.7303,561408
10+5/8,12.9045,569088
10+11/16,13.0786,576768
10+3/4,13.2528,584448
10+7/8,13.4269,592128
10+15/16,13.6011,599808
11+0/1,13.7752,607488
11+1/8,13.9494,615168
11+3/16,14.1235,622848
11+1/4,14.2977,630528
11+3/8,14.4718,638208
11+7/16,14.646,645888
11+1/2,14.8201,653568
11+5/8,14.9943,661248
11+11/16,15.1684,668928
11+3/4,15.3426,676608
11+7/8,15.5167,684288
11+15/16,15.6909,691968
12+0/1,15.865,699648
12+1/8,16.0392,707328
12+3/16,16.2133,715008
12+1/4,16.3875,722688
12+3/8,16.5616,730368
12+1/2,16.7358,738048
12+5/8,16.9099,745728
12+11/16,17.0841,753408
12+3/4,17.2582,761088
12+7/8,17.4324,768768
12+15/16,17.6065,776448
13+0/1,17.7807,784128
13+1/8,17.9548,791808
13+3/16,18.129,799488
13+1/4,18.3031,807168
13+3/8,18.4773,814848
13+7/16,18.6514,822528
13+1/2,18.8256,830208
13+5/8,18.9997,837888
13+11/16,19.1739,845568
13+3/4,19.348,853248
13+7/8,19.5222,860928
13+15/16,19.6963,868608
14+0/1,19.8705,876288
14+1/8,20.0446,883968
14+3/16,20.2188,891648
14+1/4,20.3929,899328
14+3/8,20.5671,907008
14+7/16,20.7412,914688
14+1/2,20.9154,922368
14+5/8,21.0895,930048
14+3/4,21.2637,937728
15+0/1,21.4378,945408
15+1/4,21.612,953088
15+1/2,21.7861,960768
15+3/4,21.9603,968448
15+7/8,22.1344,976128
16+0/1,22.3086,983808
16+1/4,22.4827,991488
16+1/2,22.6569,999168
16+5/8,22.831,1006848
16+3/4,23.0052,1014528
17+0/1,23.1793,1022208
17+1/4,23.3535,1029888
17+1/2,23.5276,1037568
17+3/4,23.7018,1045248
18+0/1,23.8759,1052928
18+1/8,24.0501,1060608
18+1/4,24.2242,1068288
18+3/8,24.3984,1075968
18+1/2,24.5725,1083648
18+5/8,24.7467,1091328
18+3/4,24.9208,1099008
19+0/1,25.095,1106688
19+1/8,25.2691,1114368
19+1/4,25.4433,1122048
19+3/8,25.6174,1129728
19+1/2,25.7916,1137408
19+5/8,25.9657,1145088
19+3/4,26.1399,1152768
19+7/8,26.314,1160448
19+15/16,26.4882,1168128
20+0/1,26.6623,1175808
20+1/8,26.8365,1183488
20+3/16,27.0106,1191168
20+1/4,27.1848,1198848
20+3/8,27.3589,1206528
20+7/16,27.5331,1214208
20+1/2,27.7072,1221888
20+3/4,27.8814,1229568
21+0/1,28.0555,1237248
21+1/4,28.2297,1244928
21+1/2,28.4038,1252608
21+5/8,28.578,1260288
21+3/4,28.7521,1267968
21+7/8,28.9263,1275648
22+0/1,29.1004,1283328
22+1/4,29.2746,1291008
22+1/2,29.4487,1298688
22+3/4,29.6229,1306368
22+7/8,29.797,1314048
23+0/1,29.9712,1321728
23+1/4,30.1453,1329408
23+1/2,30.3195,1337088
23+11/16,30.4936,1344768
23+3/4,30.6678,1352448
23+7/8,30.8419,1360128
24+0/1,31.0161,1367808
24+1/8,31.1902,1375488
24+3/16,31.3644,1383168
24+1/4,31.5385,1390848
24+3/8,31.7127,1398528
24+1/2,31.8868,1406208
24+5/8,32.061,1413888
24+11/16,32.2351,1421568
24+3/4,32.4093,1429248
24+7/8,32.5834,1436928
25+0/1,32.7576,1444608
25+1/4,32.9317,1452288
25+1/2,33.1059,1459968
25+5/8,33.28,1467648
25+11/16,33.4541,1475328
25+3/4,33.6283,1483008
25+7/8,33.8024,1490688
26+0/1,33.9766,1498368
26+1/8,34.1507,1506048
26+3/16,34.3249,1513728
26+1/4,34.499,1521408
26+3/8,34.6732,1529088
26+7/16,34.8473,1536768
26+1/2,35.0215,1544448
26+5/8,35.1956,1552128
26+11/16,35.3698,1559808
26+3/4,35.5439,1567488
26+7/8,35.7181,1575168
27+0/1,35.8922,1582848
27+1/8,36.0664,1590528
27+1/4,36.2405,1598208
27+1/2,36.4147,1605888
27+3/4,36.5888,1613568
27+7/8,36.763,1621248
28+0/1,36.9371,1628928
28+1/4,37.1113,1636608
28+1/2,37.2854,1644288
28+5/8,37.4596,1651968
28+3/4,37.6337,1659648
28+7/8,37.8079,1667328
29+0/1,37.982,1675008
29+1/4,38.1562,1682688
29+1/2,38.3303,1690368
29+3/4,38.5045,1698048
30+0/1,38.6786,1705728
30+1/4,38.8528,1713408
30+3/8,39.0269,1721088
30+1/2,39.2011,1728768
30+3/4,39.3752,1736448
31+0/1,39.5494,1744128
31+1/8,39.7235,1751808
31+1/4,39.8977,1759488
31+3/8,40.0718,1767168
31+1/2,40.246,1774848
31+5/8,40.4201,1782528
31+3/4,40.5943,1790208
32+0/1,40.7684,1797888
32+1/4,40.9426,1805568
32+1/2,41.1167,1813248
32+5/8,41.2909,1820928
32+3/4,41.465,1828608
32+7/8,41.6392,1836288
33+0/1,41.8133,1843968
33+1/8,41.9875,1851648
33+1/4,42.1616,1859328
33+3/8,42.3358,1867008
33+1/2,42.5099,1874688
33+5/8,42.6841,1882368
33+3/4,42.8582,1890048
33+7/8,43.0324,1897728
34+0/1,43.2065,1905408
34+1/8,43.3807,1913088
34+1/4,43.5548,1920768
34+3/8,43.729,1928448
34+1/2,43.9031,1936128
34+3/4,44.0773,1943808
34+7/8,44.2514,1951488
35+0/1,44.4256,1959168
35+1/4,44.5997,1966848
35+1/2,44.7739,1974528
35+11/16,44.948,1982208
35+3/4,45.1222,1989888
35+7/8,45.2963,1997568
36+0/1,45.4705,2005248
36+1/8,45.6446,2012928
36+3/16,45.8188,2020608
36+1/4,45.9929,2028288
36+3/8,46.1671,2035968
36+1/2,46.3412,2043648
36+5/8,46.5154,2051328
36+11/16,46.6895,2059008
36+3/4,46.8637,2066688
36+7/8,47.0378,2074368
37+0/1,47.212,2082048
37+1/4,47.3861,2089728
37+3/8,47.5603,2097408
37+1/2,47.7344,2105088
37+11/16,47.9086,2112768
37+3/4,48.0827,2120448
37+7/8,48.2569,2128128
38+0/1,48.431,2135808
38+1/8,48.6052,2143488
38+3/16,48.7793,2151168
38+1/4,48.9535,2158848
38+3/8,49.1276,2166528
38+7/16,49.3018,2174208
38+1/2,49.4759,2181888
38+5/8,49.6501,2189568
38+11/16,49.8242,2197248
38+3/4,49.9984,2204928
38+7/8,50.1725,2212608
39+0/1,50.3467,2220288
39+1/8,50.5208,2227968
39+3/16,50.695,2235648
39+1/4,50.8691,2243328
39+3/8,51.0433,2251008
39+1/2,51.2174,2258688
39+5/8,51.3916,2266368
39+11/16,51.5657,2274048
39+3/4,51.7399,2281728
39+7/8,51.914,2289408
39+15/16,52.0882,2297088
40+0/1,52.2623,2304768
40+1/8,52.4365,2312448
40+3/16,52.6106,2320128
40+1/4,52.7848,2327808
40+3/8,52.9589,2335488
40+7/16,53.1331,2343168
40+1/2,53.3072,2350848
40+5/8,53.4814,2358528
40+11/16,53.6555,2366208
40+3/4,53.8297,2373888
40+7/8,54.0038,2381568
40+15/16,54.178,2389248
41+0/1,54.3521,2396928
41+1/8,54.5263,2404608
41+3/16,54.7004,2412288
41+1/4,54.8746,2419968
41+3/8,55.0487,2427648
41+1/2,55.2229,2435328
41+5/8,55.397,2443008
41+3/4,55.5712,2450688
41+7/8,55.7453,2458368
41+15/16,55.9195,2466048
42+0/1,56.0936,2473728
42+1/4,56.2678,2481408
42+1/2,56.4419,2489088
42+3/4,56.6161,2496768
42+7/8,56.7902,2504448
43+0/1,56.9644,2512128
43+1/4,57.1385,2519808
43+1/2,57.3127,2527488
43+5/8,57.4868,2535168
43+3/4,57.661,2542848
43+7/8,57.8351,2550528
44+0/1,58.0093,2558208
44+1/4,58.1834,2565888
44+1/2,58.3576,2573568
44+3/4,58.5317,2581248
45+0/1,58.7059,2588928
45+1/4,58.88,2596608
45+3/8,59.0541,2604288
45+1/2,59.2283,2611968
45+3/4,59.4024,2619648
46+0/1,59.5766,2627328
46+1/8,59.7507,2635008
46+1/4,59.9249,2642688
46+3/8,60.099,2650368
46+1/2,60.2732,2658048
46+3/4,60.4473,2665728
46+7/8,60.6215,2673408
47+0/1,60.7956,2681088
47+1/4,60.9698,2688768
47+1/2,61.1439,2696448
47+3/4,61.3181,2704128
48+0/1,61.4922,2711808
48+1/8,61.6664,2719488
48+1/4,61.8405,2727168
48+1/2,62.0147,2734848
48+5/8,62.1888,2742528
48+3/4,62.363,2750208
48+7/8,62.5371,2757888
49+0/1,62.7113,2765568
49+1/8,62.8854,2773248
49+1/4,63.0596,2780928
49+3/8,63.2337,2788608
49+7/16,63.4079,2796288
49+1/2,63.582,2803968
49+5/8,63.7562,2811648
49+3/4,63.9303,2819328
49+7/8,64.1045,2827008
50+0/1,64.2786,2834688
50+1/8,64.4528,2842368
50+1/4,64.6269,2850048
50+3/8,64.8011,2857728
50+1/2,64.9752,2865408
50+3/4,65.1494,2873088
50+7/8,65.3235,2880768
51+0/1,65.4977,2888448
51+1/4,65.6718,2896128
51+1/2,65.846,2903808
51+11/16,66.0201,2911488
51+3/4,66.1943,2919168
51+7/8,66.3684,2926848
52+0/1,66.5426,2934528
52+1/8,66.7167,2942208
52+3/16,66.8909,2949888
52+1/4,67.065,2957568
52+3/8,67.2392,2965248
52+1/2,67.4133,2972928
52+5/8,67.5875,2980608
52+11/16,67.7616,2988288
52+3/4,67.9358,2995968
52+7/8,68.1099,3003648
53+0/1,68.2841,3011328
53+1/8,68.4582,3019008
53+3/16,68.6324,3026688
53+1/4,68.8065,3034368
53+3/8,68.9807,3042048
53+1/2,69.1548,3049728
53+11/16,69.329,3057408
53+3/4,69.5031,3065088
53+7/8,69.6773,3072768
54+0/1,69.8514,3080448
54+1/8,70.0256,3088128
54+3/16,70.1997,3095808
54+1/4,70.3739,3103488
54+3/8,70.548,3111168
54+7/16,70.7222,3118848
54+1/2,70.8963,3126528
54+5/8,71.0705,3134208
54+11/16,71.2446,3141888
54+3/4,71.4188,3149568
54+7/8,71.5929,3157248
55+0/1,71.7671,3164928
55+1/8,71.9412,3172608
55+3/16,72.1154,3180288
55+1/4,72.2895,3187968
55+3/8,72.4637,3195648
55+1/2,72.6378,3203328
55+5/8,72.812,3211008
55+3/4,72.9861,3218688
55+7/8,73.1603,3226368
56+0/1,73.3344,3234048
56+1/4,73.5086,3241728
56+3/8,73.6827,3249408
56+1/2,73.8569,3257088
56+3/4,74.031,3264768
57+0/1,74.2052,3272448
57+1/8,74.3793,3280128
57+1/4,74.5535,3287808
57+3/8,74.7276,3295488
57+1/2,74.9018,3303168
57+5/8,75.0759,3310848
57+3/4,75.2501,3318528
57+7/8,75.4242,3326208
58+0/1,75.5984,3333888
58+1/8,75.7725,3341568
58+1/4,75.9467,3349248
58+3/8,76.1208,3356928
58+7/16,76.295,3364608
58+1/2,76.4691,3372288
58+5/8,76.6433,3379968
58+3/4,76.8174,3387648
58+7/8,76.9916,3395328
58+15/16,77.1657,3403008
59+0/1,77.3399,3410688
59+1/8,77.514,3418368
59+1/4,77.6882,3426048
59+1/2,77.8623,3433728
59+5/8,78.0365,3441408
59+3/4,78.2106,3449088
59+7/8,78.3848,3456768
60+0/1,78.5589,3464448
60+1/4,78.7331,3472128
60+1/2,78.9072,3479808
60+5/8,79.0814,3487488
60+3/4,79.2555,3495168
60+7/8,79.4297,3502848
61+0/1,79.6038,3510528
61+1/8,79.778,3518208
61+1/4,79.9521,3525888
61+3/8,80.1263,3533568
61+1/2,80.3004,3541248
61+3/4,80.4746,3548928
61+7/8,80.6487,3556608
62+0/1,80.8229,3564288
62+1/8,80.997,3571968
62+1/4,81.1712,3579648
62+3/8,81.3453,3587328
62+1/2,81.5195,3595008
62+3/4,81.6936,3602688
62+7/8,81.8678,3610368
63+0/1,82.0419,3618048
63+1/8,82.2161,3625728
63+1/4,82.3902,3633408
63+3/8,82.5644,3641088
63+1/2,82.7385,3648768
63+3/4,82.9127,3656448
