mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.0	0	1/2	3/4	1	1	0	grace32	1/32	1		0	72	C5	5	0
1	0	0	0	0.0	0	1/2	3/4	1	1	0	grace32	1/32	1		2	74	D5	5	1
1	0	0	0	1.0	0	1/2	3/4	1	1	1/4		1/4	1		0	72	C5	5	2
2	1	1	1	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	6
2	1	1	1	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	3
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	7
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	7
2	1	2	2	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	7
2	1	2	2	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	4
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	8
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	8
2	1	3	3	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	8
2	1	3	3	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		9	75	D#5	5	5
3	2	4	4	1.0	0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	13
3	2	4	4	2.0	0	0	3/4	1	1	1/2		1/2	1		4	76	E5	5	9
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	14
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	14
3	2	5	5	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	14
3	2	6	6	0.0	1/2	1/2	3/4	1	1	0	grace32	1/32	1		3	69	A4	4	10
3	2	6	6	0.0	1/2	1/2	3/4	1	1	0	grace32	1/32	1		5	71	B4	4	11
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	15
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	15
3	2	6	6	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	15
3	2	6	6	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	12
4	3	7	7	1.0	0	0	3/4	2	1	1/4		1/4	1		5	47	B2	2	19
4	3	7	7	1.0	0	0	3/4	1	1	1/4		1/4	1		8	68	G#4	4	16
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	20
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	20
4	3	8	8	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	20
4	3	8	8	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	17
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	21
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	21
4	3	9	9	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	21
4	3	9	9	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-1	77	F5	5	18
5	4	10	10	1.0	0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	24
5	4	10	10	2.0	0	0	3/4	1	1	1/2		1/2	1		4	76	E5	5	22
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	25
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	25
5	4	11	11	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	25
5	4	12	12	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	26
5	4	12	12	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	26
5	4	12	12	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	26
5	4	12	12	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	23
6	5	13	13	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	30
6	5	13	13	1.0	0	0	3/4	1	1	1/4		1/4	1		0	72	C5	5	27
6	5	14	14	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	31
6	5	14	14	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	31
6	5	14	14	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	31
6	5	14	14	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	28
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	32
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	32
6	5	15	15	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	32
6	5	15	15	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		9	75	D#5	5	29
7	6	16	16	0.0	0	0	3/4	1	1	0	grace16	1/16	1		4	76	E5	5	33
7	6	16	16	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	36
7	6	16	16	2.0	0	0	3/4	1	1	1/2		1/2	1		3	81	A5	5	34
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	37
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	37
7	6	17	17	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	37
7	6	18	18	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	38
7	6	18	18	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	38
7	6	18	18	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	38
7	6	18	18	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		9	75	D#5	5	35
8	7	19	19	1.0	0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	45
8	7	19	19	0.5	0	0	3/4	1	1	1/8		1/8	1		4	76	E5	5	39
8	7	39/2	39/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	40
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	46
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	46
8	7	20	20	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	46
8	7	20	20	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	E5	5	41
8	7	41/2	41/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	42
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	47
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	47
8	7	21	21	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	47
8	7	21	21	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		5	71	B4	4	43
8	7	43/2	43/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	44
9	8	22	22	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	49
9	8	22	22	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	48
9	8	23	23	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	50
9	8	23	23	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	50
9	8	23	23	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	50
10	8	24	24	1.0	0	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	51
10	8	24	24	1.0	0	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	51
11	9	25	25	1.0	0	0	3/4	2	1	1/4		1/4	1		5	35	B1	1	55
11	9	25	25	1.0	0	0	3/4	2	1	1/4		1/4	1		5	47	B2	2	55
11	9	25	25	1.0	0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	52
11	9	25	25	1.0	0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	52
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47	B2	2	56
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	56
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	56
11	9	26	26	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	56
11	9	26	26	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	53
11	9	26	26	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	53
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	47	B2	2	57
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	57
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	57
11	9	27	27	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	57
11	9	27	27	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	54
11	9	27	27	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	54
12	10	28	28	1.0	0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	61
12	10	28	28	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	61
12	10	28	28	2.0	0	0	3/4	1	1	1/2		1/2	1		-1	65	F4	4	58
12	10	28	28	2.0	0	0	3/4	1	1	1/2		1/2	1		-1	77	F5	5	58
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	62
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	62
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	62
12	10	29	29	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	62
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	63
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	63
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	63
12	10	30	30	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	63
12	10	30	30	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		4	76	E5	5	59
12	10	61/2	61/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	60
13	11	31	31	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	68
13	11	31	31	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	68
13	11	31	31	0.5	0	0	3/4	1	1	1/8		1/8	1		0	72	C5	5	64
13	11	63/2	63/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	65
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	69
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	69
13	11	32	32	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	69
13	11	32	32	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		9	63	D#4	4	66
13	11	32	32	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	66
13	11	32	32	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		5	71	B4	4	66
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	70
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	70
13	11	33	33	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	70
13	11	33	33	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		9	63	D#4	4	67
13	11	33	33	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	67
13	11	33	33	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	67
14	12	34	34	1.0	0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	73
14	12	34	34	2.0	0	0	3/4	1	1	1/2		1/2	1		4	64	E4	4	71
14	12	34	34	2.0	0	0	3/4	1	1	1/2		1/2	1		8	68	G#4	4	71
14	12	34	34	2.0	0	0	3/4	1	1	1/2		1/2	1		5	71	B4	4	71
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	74
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	74
14	12	35	35	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	74
14	12	36	36	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	72
14	12	36	36	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	72
15	13	37	37	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	34	Bb1	1	78
15	13	37	37	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	78
15	13	37	37	1.0	0	0	3/4	1	1	1/4		1/4	1		2	62	D4	4	75
15	13	37	37	1.0	0	0	3/4	1	1	1/4		1/4	1		2	74	D5	5	75
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	79
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	79
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	79
15	13	38	38	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	79
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	65	F4	4	76
15	13	38	38	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	76
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	80
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	80
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	80
15	13	39	39	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	80
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	64	E4	4	77
15	13	39	39	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	77
16	14	40	40	1.0	0	0	3/4	2	1	1/4		1/4	1		2	38	D2	2	85
16	14	40	40	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	85
16	14	40	40	1.5	0	0	3/4	1	1	3/8		1/4	3/2		-1	65	F4	4	81
16	14	40	40	1.5	0	0	3/4	1	1	3/8		1/4	3/2		-1	77	F5	5	81
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	50	D3	3	86
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	86
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	86
16	14	41	41	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	86
16	14	83/2	83/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	82
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	87
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	87
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	87
16	14	42	42	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	87
16	14	42	42	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	83
16	14	85/2	85/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	84
17	15	43	43	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	41	F2	2	95
17	15	43	43	1.0	0	0	3/4	2	1	1/4		1/4	1		-1	53	F3	3	95
17	15	43	43	0.5	0	0	3/4	1	1	1/8		1/8	1		3	69	A4	4	88
17	15	87/2	87/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	89
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	96
17	15	44	44	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	96
17	15	44	44	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		9	63	D#4	4	93
17	15	44	44	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		3	69	A4	4	90
17	15	44	44	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		0	72	C5	5	90
17	15	89/2	89/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	91
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	53	F3	3	97
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	97
17	15	45	45	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	97
17	15	45	45	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		9	63	D#4	4	94
17	15	45	45	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	94
17	15	45	45	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	92
18	16	46	46	1.0	0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	100
18	16	46	46	2.0	0	0	3/4	1	1	1/2		1/2	1		4	64	E4	4	98
18	16	46	46	2.0	0	0	3/4	1	1	1/2		1/2	1		8	68	G#4	4	98
18	16	46	46	2.0	0	0	3/4	1	1	1/2		1/2	1		5	71	B4	4	98
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	101
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	101
18	16	47	47	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	101
18	16	48	48	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		4	76	E5	5	99
19	17	49	49	1.0	0	0	3/4	2	1	1/4		1/4	1		4	52	E3	3	105
19	17	49	49	1.0	0	0	3/4	1	1	1/4		1/4	1		5	71	B4	4	102
19	17	50	50	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	106
19	17	50	50	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	106
19	17	50	50	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	68	G#4	4	106
19	17	50	50	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	76	E5	5	103
19	17	51	51	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	107
19	17	51	51	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	107
19	17	51	51	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	68	G#4	4	107
19	17	51	51	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		9	75	D#5	5	104
20	18	52	52	1.0	0	0	3/4	2	1	1/4		1/4	1		7	49	C#3	3	112
20	18	52	52	1.5	0	0	3/4	1	1	3/8		1/4	3/2		4	76	E5	5	108
20	18	53	53	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	113
20	18	53	53	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	113
20	18	53	53	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		1	67	G4	4	113
20	18	107/2	107/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		1	79	G5	5	109
20	18	54	54	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	114
20	18	54	54	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	114
20	18	54	54	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		1	67	G4	4	114
20	18	54	54	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-1	77	F5	5	110
20	18	109/2	109/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	111
21	19	55	55	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	118
21	19	55	55	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	115
21	19	56	56	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	119
21	19	56	56	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	119
21	19	56	56	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	119
21	19	56	56	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		2	74	D5	5	116
21	19	57	57	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	120
21	19	57	57	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	120
21	19	57	57	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	120
21	19	57	57	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		7	73	C#5	5	117
22	20	58	58	1.0	0	0	3/4	2	1	1/4		1/4	1		5	47	B2	2	125
22	20	58	58	1.5	0	0	3/4	1	1	3/8		1/4	3/2		2	74	D5	5	121
22	20	59	59	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	126
22	20	59	59	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	126
22	20	59	59	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	126
22	20	119/2	119/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	122
22	20	60	60	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-4	56	Ab3	3	127
22	20	60	60	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	127
22	20	60	60	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-1	65	F4	4	127
22	20	60	60	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		4	76	E5	5	123
22	20	121/2	121/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	124
23	21	61	61	1.0	0	0	3/4	2	1	1/4		1/4	1		0	48	C3	3	131
23	21	61	61	1.0	0	0	3/4	1	1	1/4		1/4	1		1	67	G4	4	128
23	21	62	62	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		1	55	G3	3	132
23	21	62	62	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	132
23	21	62	62	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	132
23	21	62	62	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	72	C5	5	129
23	21	63	63	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		1	55	G3	3	133
23	21	63	63	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	133
23	21	63	63	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	133
23	21	63	63	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	71	B4	4	130
24	22	64	64	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	138
24	22	64	64	1.5	0	0	3/4	1	1	3/8		1/4	3/2		0	72	C5	5	134
24	22	65	65	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	139
24	22	65	65	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	139
24	22	65	65	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	64	E4	4	139
24	22	131/2	131/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		4	76	E5	5	135
24	22	66	66	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	140
24	22	66	66	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		0	60	C4	4	140
24	22	66	66	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	64	E4	4	140
24	22	66	66	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	74	D5	5	136
24	22	133/2	133/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	137
25	23	67	67	1.0	0	0	3/4	2	1	1/4		1/4	1		4	40	E2	2	145
25	23	67	67	1.5	0	0	3/4	1	1	3/8		1/4	3/2		5	71	B4	4	141
25	23	68	68	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	146
25	23	68	68	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		8	56	G#3	3	146
25	23	68	68	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		2	62	D4	4	146
25	23	137/2	137/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		2	74	D5	5	142
25	23	69	69	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	147
25	23	69	69	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		8	56	G#3	3	147
25	23	69	69	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	62	D4	4	147
25	23	69	69	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	72	C5	5	143
25	23	139/2	139/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	144
26	24	70	70	1.0	0	0	3/4	2	1	1/4		1/4	1		3	45	A2	2	149
26	24	70	70	1.0	0	0	3/4	1	1	1/4		1/4	1		3	69	A4	4	148
26	24	71	71	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		4	52	E3	3	150
26	24	71	71	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	150
26	24	71	71	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		0	60	C4	4	150
